0,106,517,542,376,377,412,511,214,0,29,239,103,0,26,438,43,0,401,396
106,0,62,490,507,633,38,22,0,540,562,0,80,47,522,183,495,465,574,0
517,62,0,629,490,42,216,0,427,524,56,118,5,483,0,554,535,576,297,140
542,490,629,0,560,44,0,262,649,607,42,339,421,33,0,262,531,289,98,32
376,507,490,560,0,35,316,242,171,0,326,121,370,285,550,51,257,322,335,33
377,633,42,44,35,0,0,607,538,240,357,388,649,0,23,0,161,478,272,554
412,38,216,0,316,0,0,75,128,641,86,380,323,193,430,327,651,370,579,570
511,22,0,262,242,607,75,0,506,52,336,283,291,270,290,0,250,497,90,574
214,0,427,649,171,538,128,506,0,254,272,0,349,305,192,370,49,570,163,497
0,540,524,607,0,240,641,52,254,0,214,607,605,200,200,267,227,71,606,0
29,562,56,42,326,357,86,336,272,214,0,179,574,193,497,287,495,250,157,328
239,0,118,339,121,388,380,283,0,607,179,0,566,573,80,0,5,404,261,631
103,80,5,421,370,649,323,291,349,605,574,566,0,466,252,236,448,427,533,632
0,47,483,33,285,0,193,270,305,200,193,573,466,0,0,179,207,176,49,306
26,522,0,0,550,23,430,290,192,200,497,80,252,0,0,15,464,123,414,105
438,183,554,262,51,0,327,0,370,267,287,0,236,179,15,0,319,41,152,560
43,495,535,531,257,161,651,250,49,227,495,5,448,207,464,319,0,538,286,99
0,465,576,289,322,478,370,497,570,71,250,404,427,176,123,41,538,0,517,378
401,574,297,98,335,272,579,90,163,606,157,261,533,49,414,152,286,517,0,243
396,0,140,32,33,554,570,574,497,0,328,631,632,306,105,560,99,378,243,0
